Country ID,Country name,Document ID by country,Government document,Policy targets green technology,Focus areas,action or strategy,Policy promotes youth employment,Policy promotes women employment,policy promotes employment of people with disabilities,Policy class,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,strengthening the resilience of protected areas to climate change,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,"integrated development plan for the Bibans massif OK, Ighil Ali (Bejaia) and Theniet Enassr (Bordj Bou Arreridi) regions",No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,Establishment of protected areas for fisheries,No,No,No,regulation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,biodiversity,valorization and improvement of the climate resilience of Oasis populations and landscapes in Algeria,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Renovation and restart of two synchronous compensators at the Sider El Hadjar complex,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Reduction of coke consumption in the blast furnace by optimizing operating parameters of the process at Sider El Hadjar.,No,No,No,regulation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Strengthening the complex capacities to improve energy performance and reduce GHG and air pollutant emissions at Sider El Hadjar,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,lighting of the Sider El Hadjar complex using solar photovoltaic power,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,modernization of the ignition system for the ladle heating stands at the 2 steel works and reinjection of hot steelworks gases for heating the furnace ladles at Sider El Hadjar,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of variable speed drives on high power motors to reduce energy consumption in the production units at Sider El Hadjar,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,improvement of the overall energy management of the production units of the Sider El Hadjar complex optimization and renovation of the facilities to reduce energy consumption.,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of compensation batteries and recommissioning of the turbo alternator to reduce consumption and generate electricity on site,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of new energy efficient induction furnaces in the ferrous and non ferrous metal foundries in El Harrach and Tiaret.,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of a solar LED lighting system for internal and external lighting of ENAP units.,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Co-incineration of high calorific household and industrial waste in the cement kilns of the GICA units,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Modernization of the facilities and replacement of cupola furnaces with electric induction furnaces for metal melting at ALFEL,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,optimizing the use of the zinc palette transformer to reduce energy consumption in the ALZINC zinc production unit,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,renewal and modernization of the AL FET smelter in Tiaret.,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of an ACS 800 variable speed motor in the process to reduce energy consumption at ALZINC,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,support and technical assistance for industrial companies for the modernization and upgrading of facilities for resource savings and environmental performance,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,Development of sludge recovery processes from wastewater treatment plants through co incineration in cement kilns,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,Dismantling and recovery of waste electrical and electronic equipment,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,industry,Promotion of entrepreneurship in the green economy in 5 Algerian wilayas (Bordj Bou Arreridj- Tizi Ouzou- Illizi-Batna-Blida-Ain-Defla). Tizi Ouzou- Illizi-Batna-Blida-Ain-Defla),No,No,No,economic instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,Eradication of illegal dumps and energy recovery from closed landfill sites,No,No,No,regulation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,industry,Market study of industrial waste recovery as part of the circular economy in Algeria,No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,"Recycling, waste recovery and energy production",No,No,No,economic instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,waste management,National pilot project for household and similar waste recovery with low greenhouse gas emissions,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Development of the solar water heater market in Algeria by installing 2,000 individual SWHs in households nationwide",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Support for the widespread use of efficient LED lighting in Algerian households,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Strengthening the energy transition market by converting 500,000 light petrol vehicles to GPL",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Program to develop high-efficiency combined-cycle power plants in the SPE fleet, Sonelgaz",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Hybridization of diesel power plants in southern Algeria through the installation of additional solar photovoltaic power plants with a total capacity of 50 MW,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Program of systematic preventive monitoring to reduce SF6 emissions from Sonelgaz electrical equipment and,No,No,No,regulation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Strengthening the capacity of Sonelgaz companies to monitor the network and reduce emissions from natural gas incidents and leaks nationwide,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Updating the mapping and monitoring of the natural gas distribution network nationwide. Implementation of national programs to extend the public natural gas distribution network nationwide,No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Supply of solar energy to 2897 isolated households through the installation of individual photovoltaic kits,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Control of natural gas leaks from the gas transport network using laser technology,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Program to renovate oil production facilities to reduce emissions and flaring in oil fields,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Energy substitution of equipment and sites,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Project to set up energy management systems (EMS), ISO 50001 certification and audits of EMS at production facilities",No,No,No,regulation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Maintenance of facilities to reduce emissions and protect equipment,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Modernization project, renewal and rehabilitation of gas industry facilities for the control and reduction of gaseous emissions into the atmosphere from the natural gas liquefaction complexes at Arzew (GL1Z and GL2Z)",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Capacity-building for Sonatrach structures and units to carry out internal audits energy of energy production sites and facilities,No,No,No,support and enablement,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,New facilities for the recovery of associated gases from oil fields and natural gas production,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Deployment of photovoltaic solar energy for water pumping and irrigation systems in farms in southern Algeria,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,forestry,"Exploration of the carbon sequestration potential of the forest, case of the Senalba state forest, wilaya of Djelfa",No,No,No,"information, education, awareness",,
1,Algeria,2,National Climate Plan (2019-2030),Yes,land,Integrated restoration project for arid lands (green dam zone) in the context of climate change,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,disaster risk management,Forest fire control strategy for fire reduction and development of prevention and management tools,No,No,No,soft instrument,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,pollution ,Implementation of the Fuel Dashboard on board Air Algérie aircraft,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,pollution ,Installation of the Electronic Flight Folder on board Air Algérie aircraft,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,pollution ,Acquisition of GPU generators and ACU air-conditioning packs to reduce ground kerotene consumption,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,pollution ,Optimization of air navigation,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,pollution ,Conversion of vehicles to LPG,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of photovoltaic panels for lighting at Biskra airport,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Installation of a LED perimeter lighting system at airports in Algeria,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Solar lighting at Hassi Messaoud airport,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Development and reinforcement of the rail network,No,No,No,direct provision,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Conversion to LPG of service vehicle fleets at airports,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Modernization of port facilities, integration of solar energy and improved energy efficiency at the ports of Arzew, Ghazaouet, Bejaia and Mostaganem.",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Modernization of urban public transport: Extension of the first metro line in Algiers and project to build the first metro line in Oran,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Modernization of urban public transport: construction of tramways in Algerian cities,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Construction of cable transport systems in Algiers, Tizi Ouzou and modernization of the Oran cable car",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,Modernization of public lighting management and generalization of LED lamps and development of solar,No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Generalization of LED lighting and installation of solar equipment, optimization and standardization of lighting in schools and canteens",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Generalization of LED lighting and installation of solar equipment, optimization and standardization of lighting and air conditioning according to usage in mosques and Koranic schools",No,No,No,innovation,,
1,Algeria,2,National Climate Plan (2019-2030),Yes,energy,"Generalization of LED lighting and installation of solar equipment, optimization and standardization of lighting in APC buildings and public infrastructures",No,No,No,innovation,,
1,Algeria,3,National Renewable Energy Development Strategy (2015-2030),Yes,cannot be accessed online,cannot be accessed online,cannot be accessed online,cannot be accessed online,cannot be accessed online,cannot be accessed online,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,energy,Achieve 27% of national electricity production from Renewable Energies by 2030;,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,energy,Widespread use of efficient lighting;,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,energy,Thermal insulation of homes between 2021 and 2030;,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,energy,Increase the share of liquefied petroleum gas and natural gas in fuel consumption between 2021 and 2030,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,energy,Reduce the volume of flared gas to less than 1% by 2030.,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,waste management,Waste recovery,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,waste management,Composting of organic and green waste;,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,waste management,Methane recovery and energy recovery from landfills and wastewater treatment plants,No,No,No,innovation,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,forestry,"Afforestation and reforestation, forest fire prevention and improved fire-fighting methods",No,No,No,support and enablement,,
1,Algeria,4,First Nationally Determined contribution (2015-2030),Yes,multiple sectors,"Information, awareness-raising and communication on climate change issues and challenges, and implementation of a national education, training and research program on climate change.",No,No,No,"information, education, awareness",,
2,Angola,1,Angola Energy 2025 (2018-2025),Yes,multiple sectors,promote human development and the well being of Angolans,No,No,No,support and enablement,,
2,Angola,1,Angola Energy 2025 (2018-2025),Yes,multiple sectors,ensure a high rate of economic development,No,No,No,economic instrument,,
2,Angola,1,Angola Energy 2025 (2018-2025),Yes,multiple sectors,develop national territory harmoniously,No,No,No,economic instrument,,
2,Angola,1,Angola Energy 2025 (2018-2025),Yes,multiple sectors,promote an equitative and sustainable development,No,No,No,economic instrument,,
2,Angola,1,Angola Energy 2025 (2018-2025),Yes,industry,promote Angola’s competitive insertion in the World Economy,No,No,No,economic instrument,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,water,creating an early warning system to reinforce the contingency and emergency plans of the basins,No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,increasing penetration of renewable energies and access to low-carbon energy in rural areas,No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,promoting sustainable and low-carbon agricultural practices to help combat desertification and unsustainable use of agricultural land,No,Yes,No,soft instrument,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,creating legislation that guarantees that the sale of electrical appliances in angola is carried out in according to the most modern energy efficiency labeling standards,No,Yes,No,regulation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,water,improve the early warning system to support communities in the most affected areas and reinforce emergency plans,No,Yes,No,support and enablement,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,creating an early warning system to support farmers in developing actions to protect crops and contingency plans against the adverse effects of extreme weather phenomena,No,Yes,No,support and enablement,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,"developping and/or adapting technologies that ensure the sustainable use and increased efficiency of water use in agricultural production systems, with emphasis on efficient irrigation systems and the efficient use of rainwater",No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,"prepare a detailed mapping of the technological needs for the mitigation and adaptation components, supported by the identification of priority technologies, in the sectors and areas of intervention of this strategy;",No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,"approve specific laws for renewable energies, which encourage their implementation",No,Yes,No,regulation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,training rural communities on the advantages of using more efficient traditional stoves,No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,promoting the use of efficient biomass stoves and sustainable and low-carbon agricultural practices,No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,"creating feed-in tariffs to promote private investment in renewable energies, legal provisions that facilitate contracts",No,Yes,No,economic instrument,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,investing in the use of new and sustainable technologies that include the integrated management of natural resources,No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,provide the necessary technical guidance to inform policy makers and support the decision-making process,No,Yes,No,soft instrument,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,"train sectoral agents and central, provincial and local administration levels in order to effectively plan and implement the mitigation and adaptation actions proposed in the various initiatives.",No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,involve the various national key actors in the proposed mapping exercises.,No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,waste management,"constructing landfills in all municipal seats by 2022, using the biogas generated to produce electricity",No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,creating regulations that encourage increased investment in renewable energy and energy efficiency,No,Yes,No,regulation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,training small and large producers on the advantages of applying low-carbon agricultural practices,No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,water,building flood protection barriers along major rivers,No,Yes,No,direct provision,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,"strengthen the skills of the Angolan government's focal points in international and regional climate negotiations (for example, in sadc) with a view to strengthening their negotiating position, contributing to regional and international cooperation and, consequently, to the necessary resilience of the region and the mainland in general",No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,elaborate a mapping of the needs of passive technology transfer in the context of its participation in the unfccc;,No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,energy,promoting information sessions for investors on the regulation of renewables in angola and energy efficiency awareness campaigns among families,No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,multiple sectors,"create undergraduate, masters, doctorates and specializations aimed at sustainability and climate change, as well as other sciences that support the theme",No,Yes,No,"Information, educational, awareness",,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,agriculture,facilitating the acquisition of agricultural machinery that uses renewable energy or less polluting fuels through special financing programs,No,Yes,No,innovation,,
2,Angola,2,National Strategies against Climate Change 2018 - 2030 (2017),Yes,health,create an early warning system to reinforce contingency and public health emergency plans in the face of the effects of extreme weather events,No,Yes,No,innovation,,
2,Angola,3,Atlas and National Strategy for the New Renewable Energies (2015-2025),Yes,multiple sectors,"allocate an amount of at least 1,000 million kz per year to the national electricity fund (funel) by 2025 to support rural electrification programs based on renewable energies and to the establishment of subsidized credit lines for the purchase of individual systems or launch of productive activities.",No,Yes,No,Economic instrument,,
2,Angola,3,Atlas and National Strategy for the New Renewable Energies (2015-2025),Yes,multiple sectors,approve pre-defined subsidized tariffs (fit) for renewable projects to be grid-connected of up to 10 mw and review the tax system.,No,Yes,No,Economic instrument,,
2,Angola,3,Atlas and National Strategy for the New Renewable Energies (2015-2025),Yes,multiple sectors,"the support, through pre-established subsidies per customer and installed kw, to an initial investment in local networks, allocated by a tendering procedure",No,Yes,No,Economic instrument,,
2,Angola,3,Atlas and National Strategy for the New Renewable Energies (2015-2025),Yes,multiple sectors,"promote, in conjunction with the ministry of education and the university system, the creation of re training centers that contribute to the technical development of the country in the re.",No,Yes,No,"Information, educational, awareness",,
